,Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Correspondence Address,Document Type,Source
379,Ning D.; Lu Z.; Tian C.; Yan N.; Xie F.; Li N.; Hua L.,57198514207; 15065789200; 57831504700; 36121780400; 54793890700; 57197435598; 24923212600,Superwettable cellulose acetate-based nanofiber membrane with spider-web structure for highly efficient oily water purification,2023,International Journal of Biological Macromolecules,1.0,10.1016/j.ijbiomac.2023.126865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171389918&doi=10.1016%2fj.ijbiomac.2023.126865&partnerID=40&md5=432954b3032cbb92818901ec6f22e100,"College of Bioresources Chemical and Materials Engineering, Shaanxi Provincial Key Laboratory of Papermaking Technology and Specialty Paper Development, National Demonstration Center for Experimental Light Chemistry Engineering Education, Shaanxi University of Science & Technology, Xi'an, 710021, China; State Key Laboratory of Pulp and Paper Engineering, South China University of Technology, No. 381, Wushan Road, Tianhe District, Guangzhou, 510640, China","Z. Lu; College of Bioresources Chemical and Materials Engineering, Shaanxi Provincial Key Laboratory of Papermaking Technology and Specialty Paper Development, National Demonstration Center for Experimental Light Chemistry Engineering Education, Shaanxi University of Science & Technology, Xi'an, 710021, China; email: luzhaoqing302@163.com",Article,Scopus
380,Liu Z.; Wen C.; Xiao Y.; Fu W.; Wang H.; Meng Z.,58505110500; 57208058726; 57217833072; 23988521300; 56381613100; 23988881200,Path Tracking Control Algorithm of Tractor-Implement; [拖拉机-牵引式农机具路径跟踪控制算法研究],2023,Smart Agriculture,0.0,10.12133/j.smartag.SA202308004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183871021&doi=10.12133%2fj.smartag.SA202308004&partnerID=40&md5=40cd31a14de7fd135ca625b4a66a6e6b,"School of Agricultural Engineering, Jiangsu University, Zhenjiang, 212013, China; National Research Center of Intelligent Equipment for Agriculture, Beijing, 100097, China; State Key Laboratory of Intelligent Agricultural Power Equipment, Beijing, 100097, China","Z. Meng; School of Agricultural Engineering, Jiangsu University, Zhenjiang, 212013, China; email: mengzj@nercita.org.cn",Article,Scopus
381,Vijayakumar T.; Palakaluri J.; Pathan M.K.; Nelluri S.; Janga P.,56596576500; 58817820300; 58818063400; 58817917800; 58818063500,Comparative Analysis of Tamarind Seed Biodiesel Blends in a Diesel Engine: Performance and Emissions Characteristics,2023,International Journal of Vehicle Structures and Systems,0.0,10.4273/ijvss.15.6.25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182595625&doi=10.4273%2fijvss.15.6.25&partnerID=40&md5=4b931bd45f030e61ba92733b9d90a0ba,"Dept. of Mech. Engg, Koneru Lakshmaiah Education Foundation, Andhra Pradesh, Guntur, India; Dept. of Mech. Engg, Vignan’s Lara Institute of Tech. and Sci, Andhra Pradesh, Guntur, India","T. Vijayakumar; Dept. of Mech. Engg, Koneru Lakshmaiah Education Foundation, Guntur, Andhra Pradesh, India; email: vijay_mech@kluniversity.in",Article,Scopus
382,Sun J.; Liu X.; Du J.; An J.; Li Y.; Hu Y.; Cheng S.; Xiong Y.; Yu Y.; Tian H.; Mei X.; Wu C.,57973601400; 57973739900; 57973035600; 57338915700; 57728136400; 58567995200; 58036922100; 58604785700; 58491793800; 57208236284; 7103346628; 57221208632,Manganese-doped albumin-gelatin composite nanogel loaded with berberine applied to the treatment of gouty arthritis in rats via a SPARC-dependent mechanism,2023,International Journal of Biological Macromolecules,0.0,10.1016/j.ijbiomac.2023.126999,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171619561&doi=10.1016%2fj.ijbiomac.2023.126999&partnerID=40&md5=675598396238f5f616a44c2748b520ad,"Pharmacy School, Jinzhou Medical University, Liaoning, Jinzhou, 121001, China; Liaoning Provincial Collaborative Innovation Center for Medical Testing and Drug Research, Jinzhou Medical University, Liaoning, Jinzhou, 121001, China; School of Basic Medicine, Jinzhou Medical University, Liaoning, Jinzhou, 121001, China; Normandie Université, ENSICAEN, UNICAEN, CNRS, Laboratoire Catalyse et Spectrochimie (LCS), Caen, 14050, France; The Third Affiliated Hospital of Jinzhou Medical University, Liaoning, Jinzhou, 121001, China; Key Laboratory of Medical Tissue Engineering of Liaoning Province, Jinzhou Medical University, Liaoning, Jinzhou, 121001, China; Medical College of Jinzhou Medical University, Jinzhou Medical University, 121010, China","C. Wu; Pharmacy School, Jinzhou Medical University, Jinzhou, Liaoning, 121001, China; email: wuchao@jzmu.edu.cn; H. Tian; School of Basic Medicine, Jinzhou Medical University, Jinzhou, Liaoning, 121001, China; email: tianhe@jzmu.edu.cn; X. Mei; The Third Affiliated Hospital of Jinzhou Medical University, Jinzhou, Liaoning, 121001, China; email: meixifan@jzmu.edu.cn",Article,Scopus
383,Wang S.; Bi J.; Li C.; Li B.,57222538917; 57193265894; 55614671100; 57129082200,"Latrophilin, an adhesion GPCR with galactose-binding lectin domain involved in the innate immune response of Tribolium castaneum",2023,International Journal of Biological Macromolecules,0.0,10.1016/j.ijbiomac.2023.126707,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170256628&doi=10.1016%2fj.ijbiomac.2023.126707&partnerID=40&md5=6538578e43b06e75dbd41cd37407ea7d,"Jiangsu Key Laboratory for Biodiversity and Biotechnology, College of Life Sciences, Nanjing Normal University, Nanjing, 210023, China; Laboratory of Quality and Safety Risk Assessment for Agro-Products of the Ministry of Agriculture (Jinan), Institute of Quality Standard and Testing Technology for Agro-Products, Shandong Academy of Agricultural Sciences, Shandong, Jinan, China","B. Li; Jiangsu Key Laboratory for Biodiversity and Biotechnology, College of Life Sciences, Nanjing Normal University, Nanjing, 210023, China; email: libin@njnu.edu.cn",Review,Scopus
384,He Z.; Guo J.; Zhang H.; Yu J.; Zhou Y.; Wang Y.; Li T.; Yan M.; Li B.; Chen Y.; Chen S.; Lv G.; Su J.,57881487000; 58600103300; 58602883800; 55926156900; 57882226600; 57217393294; 57218500248; 35207239100; 57193573537; 58872603000; 7410250795; 17346289700; 51764533600,Atractylodes macrocephala Koidz polysaccharide improves glycolipid metabolism disorders through activation of aryl hydrocarbon receptor by gut flora-produced tryptophan metabolites,2023,International Journal of Biological Macromolecules,2.0,10.1016/j.ijbiomac.2023.126987,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171551569&doi=10.1016%2fj.ijbiomac.2023.126987&partnerID=40&md5=ad703944c1c6af20f3c2dde899ac40c5,"College of Pharmaceutical Sciences, Zhejiang Chinese Medical University, Hangzhou, China; Collaborative Innovation Center of Yangtze River Delta Region Green Pharmaceuticals, Zhejiang University of Technology, Hangzhou, China",,Article,Scopus
385,Huang L.; Zhang L.; Hu Y.; Yang H.; Xiang B.; Yao X.,58861900500; 57221502949; 58558275500; 58861900600; 56454866100; 57212121303,Fast Prediction Method of Short-circuit Current Zero Based on an Algorithm of Long Short Term Memory; [基于长短期记忆网络的短路电流过零点预测方法],2023,Gaodianya Jishu/High Voltage Engineering,2.0,10.13336/j.1003-6520.hve.20221837,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170051838&doi=10.13336%2fj.1003-6520.hve.20221837&partnerID=40&md5=67e4335628bf41f1eb9dda17ba134941,"State Grid Information and Communication Industry Group Co., Ltd., Beijing, 102211, China; State Key Laboratory of Electrical Insulation and Power Equipment, Xi’an Jiaotong University, Xi’an, 710049, China","X. Yao; State Key Laboratory of Electrical Insulation and Power Equipment, Xi’an Jiaotong University, Xi’an, 710049, China; email: yaoxf85@mail.xjtu.edu.cn",Article,Scopus
386,Abd El Fattah Y.K.; Abulsoud A.I.; AbdelHamid S.G.; AbdelHalim S.; Hamdy N.M.,57925328800; 57192086906; 57219307452; 58213268500; 57190847144,"CCDC144NL-AS1/hsa-miR-143-3p/HMGA2 interaction: In-silico and clinically implicated in CRC progression, correlated to tumor stage and size in case-controlled study; step toward ncRNA precision",2023,International Journal of Biological Macromolecules,10.0,10.1016/j.ijbiomac.2023.126739,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171143596&doi=10.1016%2fj.ijbiomac.2023.126739&partnerID=40&md5=c7f16ac0c50d109ac4b8de0994c1b144,"Biochemistry Department, Faculty of Pharmacy, Heliopolis University, Cairo, El Salam City, 11785, Egypt; Biochemistry Department, Faculty of Pharmacy (Boy's Branch), Al-Azhar University, Cairo, Nasr City, 11884, Egypt; Biochemistry Department, Faculty of Pharmacy, Ain Shams University, Cairo, Abbassia, 11566, Egypt; Department of General surgery, Faculty of Medicine, Ain Shams University, Cairo, Egypt","N.M. Hamdy; Biochemistry Department, Faculty of Pharmacy, Ain Shams University, Abbassia, Cairo, 11566, Egypt; email: nadia_hamdy@pharma.asu.edu.eg",Article,Scopus
387,Vikas; Parhi D.R.,57113745400; 6603245659,Single and multiple humanoid path planning using Hill valley approach applied to gravitational drift in Gravitational search algorithm,2023,Robotica,0.0,10.1017/S0263574723001182,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170030913&doi=10.1017%2fS0263574723001182&partnerID=40&md5=fc6380238db0e5b28a8d56b61193fdef,"Robotics Laboratory, Mechanical Engineering Department, National Institute of Technology, Odisha, Rourkela, India","Vikas; Robotics Laboratory, Mechanical Engineering Department, National Institute of Technology, Rourkela, Odisha, India; email: vikaspce2k8@gmail.com",Article,Scopus
388,Bhamare D.R.; Patil P.S.,58855151800; 57194725896,Person Identification System Using Periocular Biometrics Based on Hybrid Optimal Dense Capsule Network,2023,International Journal of Pattern Recognition and Artificial Intelligence,0.0,10.1142/S0218001423560268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183670572&doi=10.1142%2fS0218001423560268&partnerID=40&md5=335fdc843b51556c0bf8e75e95a4b613,"Electronics and Telecommunication Department SSVPS’s Bapusaheb Shivajirao Deore College of Engineering, Deopur, Vidyanagri, Maharashtra, Dhule, 424005, India","D.R. Bhamare; Electronics and Telecommunication Department SSVPS’s Bapusaheb Shivajirao Deore College of Engineering, Dhule, Deopur, Vidyanagri, Maharashtra, 424005, India; email: dr.bhamare@ssvpsengg.ac.in",Article,Scopus
389,Li Z.; Yu J.; Pan S.; Jia Z.; Niu Z.,58859462800; 58860982000; 57224976948; 58860475400; 56412412000,Individual Tree Skeleton Extraction and Crown Prediction Method of Winter Kiwifruit Trees; [冬季猕猴桃树单木骨架提取与冠层生长预测方法],2023,Smart Agriculture,0.0,10.12133/j.smartag.SA202308015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183863670&doi=10.12133%2fj.smartag.SA202308015&partnerID=40&md5=2b1c64d1f24aa13b7a9d3172dca2b318,"College of Mechanical and Electronic engineering, Northwest A&F University, Xianyang, 712100, China","Z. Niu; College of Mechanical and Electronic engineering, Northwest A&F University, Xianyang, 712100, China; email: niuzijie@nwsuaf.edu.cn",Article,Scopus
390,Wu Y.; Xu F.; Zhao H.; Wu H.; Sun C.; Li Q.,57212467061; 58571376400; 58571898700; 57869390900; 57212227301; 57281769900,Furoic acid-mediated konjac glucomannan/flaxseed gum based green biodegradable antibacterial film for Shine-Muscat grape preservation,2023,International Journal of Biological Macromolecules,0.0,10.1016/j.ijbiomac.2023.126883,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170551472&doi=10.1016%2fj.ijbiomac.2023.126883&partnerID=40&md5=3ebbacf7faef8171827f8de636c78d94,"College of Science, Beijing Forestry University, Beijing, 100083, China; Beijing Key Laboratory of Forest Food Processing and Safety, College of Biological Sciences and Biotechnology, Beijing Forestry University, Beijing, 100083, China","H. Wu; College of Science, Beijing Forestry University, Beijing, 100083, China; email: wuhaolin@bjfu.edu.cn",Article,Scopus
391,Prismotrov K.V.; Varavva A.I.; Voroninskaya Y.G.,58849677400; 57142372000; 58849441200,Multi-stage hydraulic fracturing simulation methodology at the wells of the gas condensate field X,2023,Georesursy,0.0,10.18599/grs.2023.4.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183425255&doi=10.18599%2fgrs.2023.4.5&partnerID=40&md5=faec1ad585b500057a29ef127c802368,"Gazpromneft NTC LLC, 14, 50 Let Oktyabrya st, Tyumen, 625048, Russian Federation","K.V. Prismotrov; Gazpromneft NTC LLC, Tyumen, 14, 50 Let Oktyabrya st, 625048, Russian Federation; email: henysberg@yandex.ru",Article,Scopus
392,Wang J.; Wang Y.; Li Y.; Wei S.; Li C.; Wang Y.; Qi H.,57212621880; 57205568124; 58865381900; 58891767500; 58891767600; 7601495034; 58891093500,Landslide susceptibility assessment based on weighted information value model: A case study of chongqing city,2023,Science of Soil and Water Conservation,,10.16843/j.sswc.2023.06.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185298039&doi=10.16843%2fj.sswc.2023.06.006&partnerID=40&md5=e6b21eae44186488a03f3a2ef5909a50,"School of Soil and Water Conservation, Beijing Forestry University, Beijing, 100083, China; Three-Gorges Reservoir Area (Chongqing) Forest Ecosystem Research Station, Beijing Forestry University, Beijing, 100083, China; Beijing Aquatic Ecology Protection and Soil and Water Conservation Center, Beijing, 100086, China; Observation and Research Station of Ecological Restoration for Chongqing Typical Mining Areas, Ministry of Natural Resources, Chongqing Institute of Geology and Mineral Resources, Chongqing, 401120, China","Y. Wang; Three-Gorges Reservoir Area (Chongqing) Forest Ecosystem Research Station, Beijing Forestry University, Beijing, 100083, China; email: wangyunqi@bjfu.edu.cn",Article,Scopus
393,Wang F.; Chen C.; Zhu D.; Li W.; Liu J.; Wang J.,58485053900; 57292728100; 58564014900; 58564517200; 57216256725; 55903871700,Ultrastretchable and highly conductive hydrogels based on Fe3+- lignin nanoparticles for subzero wearable strain sensor,2023,International Journal of Biological Macromolecules,1.0,10.1016/j.ijbiomac.2023.126768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169927702&doi=10.1016%2fj.ijbiomac.2023.126768&partnerID=40&md5=25407c3ab09e5ef04712ebda7ed689e0,"College of Chemical Engineering, Nanjing Forestry University, Nanjing, 210037, China; Jiangsu Key Lab for the Chemistry and Utilization of Agricultural and Forest Biomass, Nanjing Forestry University, Nanjing, 210037, China","F. Wang; College of Chemical Engineering, Nanjing Forestry University, Nanjing, 210037, China; email: wangfang@njfu.edu.cn",Article,Scopus
394,Lai F.-L.; Gao F.,57221544548; 56431760600,LSA-ac4C: A hybrid neural network incorporating double-layer LSTM and self-attention mechanism for the prediction of N4-acetylcytidine sites in human mRNA,2023,International Journal of Biological Macromolecules,0.0,10.1016/j.ijbiomac.2023.126837,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171160980&doi=10.1016%2fj.ijbiomac.2023.126837&partnerID=40&md5=0c7ff46015761bd00569a2833c84be71,"Department of Physics, School of Science, Tianjin University, Tianjin, 300072, China; Frontiers Science Center for Synthetic Biology and Key Laboratory of Systems Bioengineering (Ministry of Education), Tianjin University, Tianjin, 300072, China; SynBio Research Platform, Collaborative Innovation Center of Chemical Science and Engineering (Tianjin), Tianjin, 300072, China","F. Gao; Department of Physics, School of Science, Tianjin University, Tianjin, 300072, China; email: fgao@tju.edu.cn",Article,Scopus
395,Bandakinda M.; Mishra A.,58488229500; 35769446500,Insights into role of microRNA in Alzheimer's disease: From contemporary research to bedside perspective,2023,International Journal of Biological Macromolecules,2.0,10.1016/j.ijbiomac.2023.126561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170241397&doi=10.1016%2fj.ijbiomac.2023.126561&partnerID=40&md5=2c33b7f6440d8f6a313ea63aad68784c,"Department of Pharmacology and Toxicology, National Institute of Pharmaceutical Education and Research (NIPER) – Guwahati, Changsari, Kamrup, Assam, 781101, India","A. Mishra; Department of Pharmacology and Toxicology, National Institute of Pharmaceutical Education and Research (NIPER) – Guwahati, Sila Katamur (Halugurisuk), Changsari, Kamrup, Assam, 781101, India; email: awanish@niperguwahati.in",Review,Scopus
396,Wang Y.; Jiang Z.; Deng L.; Zhang G.; Xu X.; Alonge E.; Zhang H.; Guo C.,57190308956; 58539459500; 58539480600; 57860347900; 57191033236; 57216638138; 57224914813; 16416531900,Dendrobium offificinale polysaccharides prevents glucocorticoids-induced osteoporosis by destabilizing KEAP1-NRF2 interaction,2023,International Journal of Biological Macromolecules,0.0,10.1016/j.ijbiomac.2023.126600,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169780140&doi=10.1016%2fj.ijbiomac.2023.126600&partnerID=40&md5=dc6ecef71890fc8c50d701c798cfbf8b,"Department of Spine Surgery and Orthopaedics, Xiangya Hospital, Central South University, Hunan, Changsha, 410008, China; National Clinical Research Center for Geriatric Disorders, Xiangya Hospital, Central South University, Hunan, Changsha, 410008, China; Department of Pharmacy, Xiangya Hospital, Central South University, Hunan, Changsha, 410008, China","C. Guo; Department of Spine Surgery and Orthopaedics, Xiangya Hospital, Central South University, Changsha, Hunan, 410008, China; email: guochaofeng2016@126.com",Article,Scopus
397,Yang J.; Yang X.; Li X.; Ou S.,57210019316; 57384623100; 57384382200; 36439827900,Modes of mechanical ventilation and ultrasound scan technique for evaluating the optic nerve sheath diameter in patients undergoing surgery in the steep Trendelenburg position,2023,Annals of Palliative Medicine,0.0,10.21037/apm-2022-04,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160259848&doi=10.21037%2fapm-2022-04&partnerID=40&md5=852b159813b7c9f9895b37f98bd04e25,"Department of Anesthesiology, Chengdu First People’s Hospital, Chengdu, China","S. Ou; Department of Anesthesiology, Chengdu First People’s Hospital, Chengdu, 18 Wanxiang North Road, China; email: composer163@163.com",Letter,Scopus
398,Hao Y.; Lao S.; Liu H.; Chen X.; Ye G.; Wang Z.; Liao W.,57208621026; 57223180786; 56607723000; 58564371200; 57220082321; 35211953100; 56342170900,Isolation and characterization of a nephroprotective polysaccharide from Dendrobium chrysotoxum Lindl against LPS-induced acute kidney injury mice,2023,International Journal of Biological Macromolecules,1.0,10.1016/j.ijbiomac.2023.126614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169913033&doi=10.1016%2fj.ijbiomac.2023.126614&partnerID=40&md5=f8ffa78a52e02b01479e5ebadfb8e98b,"Department of Nutrition and Food Hygiene, Guangdong Provincial Key Laboratory of Tropical Disease Research, School of Public Health, Southern Medical University, China; Guangdong Provincial Key Lab of Ornamental Plant Germplasm Innovation and Utilization, Environmental Horticulture Research Institute, Guangdong Academy of Agricultural Sciences, Guangzhou, China","W. Liao; Department of Nutrition and Food Hygiene, Guangdong Provincial Key Laboratory of Tropical Disease Research, School of Public Health, Southern Medical University, Guangzhou, No. 1023 South Shatai Road, 510515, China; email: wenzhenliao@163.com",Article,Scopus
399,Ding X.; Li D.; Xu Y.; Wang Y.; Liang S.; Xie L.; Yu W.; Zhan X.; Fu A.,57211942919; 57481995900; 57219242648; 57192944092; 52464084100; 57560100400; 58139257000; 7102821713; 56015608700,Carboxymethyl konjac glucomannan-chitosan complex nanogels stabilized emulsions incorporated into alginate as microcapsule matrix for intestinal-targeted delivery of probiotics: In vivo and in vitro studies,2023,International Journal of Biological Macromolecules,3.0,10.1016/j.ijbiomac.2023.126931,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171460509&doi=10.1016%2fj.ijbiomac.2023.126931&partnerID=40&md5=19205c323dc2b34b34cf288b0ea9f37d,"Key Laboratory of Animal Nutrition and Feed Science in East China, Ministry of Agriculture and Key Laboratory of Animal Feed and Nutrition of Zhejiang Province, Institute of Feed Science, College of Animal Sciences, Zhejiang University, Hangzhou, 310058, China; Animal Husbandry and Veterinary Services Center of Haiyan, Jiaxing, 314300, China","W. Yu; Animal Husbandry and Veterinary Services Center of Haiyan, Jiaxing, 314300, China; email: 13906838393@139.com",Article,Scopus
400,Jeong K.-J.; Seo J.-K.; Ahamed Z.; Su Lee Y.; Yang H.-S.,58311385200; 57190946447; 58054743800; 58660791800; 23394125200,Paprika extract as a natural antioxidant in cold-stored pork patties: Effect on oxidative stability and heterocyclic amines inhibition,2023,Food Chemistry: X,0.0,10.1016/j.fochx.2023.100936,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174710533&doi=10.1016%2fj.fochx.2023.100936&partnerID=40&md5=068dc13fec664dd60eb7344c47fe1a7d,"Division of Applied Life Science (BK21 Plus), Gyeongsang National University, 501 Jinju-daero, Jinju-si, Gyeongsangnam-do, 52828, South Korea; RedGene Inc., 1st Floor, 38 Nakseong-daero, Gwanak-gu, Seoul, 09790, South Korea; Institute of Agriculture and Life Science, Gyeongsang National University, 501 Jinju-daero, Jinju-si, Gyeongsangnam-do, 52828, South Korea","H.-S. Yang; Division of Applied Life Science (BK21 plus), Gyeongsang National University, Gyeongsangnam-do, 501 Jinju-daero, Jinju-si, 52828, South Korea; email: hsyang@gnu.ac.kr",Article,Scopus
401,Park J.; Yi S.; Chang W.; Mateu J.,57195720925; 57817705100; 55813857400; 7004431932,A spatio-temporal Dirichlet process mixture model for coronavirus disease-19,2023,Statistics in Medicine,0.0,10.1002/sim.9925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173724727&doi=10.1002%2fsim.9925&partnerID=40&md5=9bed12d80f0f61f1da1b3db2ba295959,"Department of Applied Statistics, Yonsei University, Seoul, South Korea; Department of Statistics and Data Science, Yonsei University, Seoul, South Korea; Division of Statistics and Data Science, University of Cincinnati, Cincinnati, OH, United States; Department of Mathematics, University Jaume I, Castellón de la Plana, Spain","J. Park; Department of Statistics and Data Science, Yonsei University, Seoul, 03722, South Korea; email: jwpark88@yonsei.ac.kr",Article,Scopus
402,Li Y.; Zhang L.,57192522201; 58853347600,Bifurcations in a General Delay Sel'kov-Schnakenberg Reaction-Diffusion System,2023,International Journal of Bifurcation and Chaos,0.0,10.1142/S021812742350195X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181571123&doi=10.1142%2fS021812742350195X&partnerID=40&md5=7a93a13c09d0da7964e8a1f8adc4c4bf,"School of Sciences, Shanghai Institute of Technology, Shanghai, 201418, China","Y. Li; School of Sciences, Shanghai Institute of Technology, Shanghai, 201418, China; email: liyq@sit.edu.cn",Article,Scopus
403,Yan G.; Ning X.,58799819400; 24278387000,Integrative Palliative Care for End-Stage Patients; [终末期患者缓和医疗共同管理模式],2023,Acta Academiae Medicinae Sinicae,0.0,10.3881/j.issn.1000-503X.15812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181769859&doi=10.3881%2fj.issn.1000-503X.15812&partnerID=40&md5=36ddc2184584f1b0f9a79e127a0172b0,"School of Population Medicine and Public Health, CAMS, PUMC, Beijing, 100006, China; Department of Geriatric Medicine, PUMC Hospital, CAMS, PUMC, Beijing, 100730, China; Palliative Medicine Center, PUMC Hospital, CAMS, PUMC, Beijing, 100730, China","X. Ning; Department of Geriatric Medicine, PUMC Hospital, CAMS, PUMC, Beijing, 100730, China; email: ningxh1973@foxmail.com",Article,Scopus
404,Liu X.; Ma S.; Zhang Y.; Fu Y.; Cai S.,57218606703; 57450038400; 57211040340; 57219717823; 37114243300,Transmembrane behaviors and quantitative structure–activity relationship of dietary flavonoids in the presence of intestinal digestive products from different carbohydrate sources based on in vitro and in silico analysis,2023,Food Chemistry: X,0.0,10.1016/j.fochx.2023.100994,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177785011&doi=10.1016%2fj.fochx.2023.100994&partnerID=40&md5=085fd4b113fbccc679326e6c7340631a,"Faculty of Food Science and Engineering, Kunming University of Science and Technology, People's Republic of China, Yunnan Province, Kunming, 650500, China; School of Food Science and Technology, Jiangnan University, People's Republic of China, Jiangsu Province, Wuxi, 214122, China; Science Center for Future Foods, Jiangnan University, People's Republic of China, Jiangsu Province, Wuxi, 214122, China","Y. Fu; Faculty of Food Science and Engineering, Kunming University of Science and Technology, People's Republic of China, Kunming, Yunnan Province, 650500, China; email: fuyishankm@163.com",Article,Scopus
405,Zhang Y.; Niu R.,57202508270; 58795674900,Relaxation Oscillations in an SIS Epidemic Model with a Nonsmooth Incidence,2023,International Journal of Bifurcation and Chaos,0.0,10.1142/S0218127423501882,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181541822&doi=10.1142%2fS0218127423501882&partnerID=40&md5=48c74287b9a18f5fb3e2e2fa32aed14b,"College of Science, Northwest A&f University, Shaan'xi, Yangling, 712100, China","Y. Zhang; College of Science, Northwest A&f University, Yangling, Shaan'xi, 712100, China; email: zyy0303@nwafu.edu.cn",Article,Scopus
406,Zhu X.; Yang Y.; Tang J.,58604256500; 57198776938; 56463154100,"Compound wind and precipitation extremes at a global scale based on CMIP6 models: Evaluation, projection and uncertainty",2023,International Journal of Climatology,0.0,10.1002/joc.8281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174550531&doi=10.1002%2fjoc.8281&partnerID=40&md5=f29e45930f845a6af1a9d4ee3959d9c3,"Key Laboratory of Mesoscale Severe Weather/Ministry of Education, Nanjing University, Nanjing, China; School of Atmospheric Sciences, Nanjing University, Nanjing, China","Y. Yang; School of Atmospheric Sciences, Nanjing University, Nanjing, 163 Xianlin Road, China; email: yyang.as@nju.edu.cn",Article,Scopus
407,Ma D.; Ma J.; Graham P.L.,58651533800; 36078597000; 7201373555,On semiparametric accelerated failure time models with time-varying covariates: A maximum penalised likelihood estimation,2023,Statistics in Medicine,0.0,10.1002/sim.9926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174272144&doi=10.1002%2fsim.9926&partnerID=40&md5=0473aa359408caaf0778d110216e2628,"School of Mathematical and Physical Sciences, Macquarie University, Sydney, Australia","D. Ma; School of Mathematical and Physical Sciences, Macquarie University, Sydney, Australia; email: ding.ma@mq.edu.au",Article,Scopus
408,Infante G.; Miceli R.; Ambrogi F.,57190089093; 7006273052; 10340744800,Sample size and predictive performance of machine learning methods with survival data: A simulation study,2023,Statistics in Medicine,0.0,10.1002/sim.9931,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176296411&doi=10.1002%2fsim.9931&partnerID=40&md5=c211380a3d520a461b4b1df707168283,"Department of Clinical Sciences and Community Health, University of Milan, Milan, Italy; Unit of Biostatistics for Clinical Research, Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy; Scientific Directorate, IRCCS Policlinico San Donato, San Donato Milanese, Italy","F. Ambrogi; Department of Clinical Sciences and Community Health, University of Milan, Milan, Via Celoria 22, 20133, Italy; email: federico.ambrogi@unimi.it",Article,Scopus
409,Zhu P.; Yang W.; Wang B.; Zeng T.; Hu Z.; Zhang D.; Yang Z.; Wang K.; Pu J.,58283524500; 58283679300; 57205176850; 58791326000; 57208266148; 57218571277; 58284323800; 58283189700; 57204145058,Systematic analysis of apoptosis-related genes in the prognosis of lung squamous cell carcinoma: a combined single-cell RNA sequencing study,2023,Journal of Thoracic Disease,0.0,10.21037/jtd-23-1712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181254797&doi=10.21037%2fjtd-23-1712&partnerID=40&md5=4e146de9a588d0b2c954c215405872c5,"Department of Thoracic Surgery, Affiliated Hospital of Southwest Medical University, Luzhou, China","J. Pu; Department of Thoracic Surgery, Affiliated Hospital of Southwest Medical University, Luzhou, No. 25, Taiping Street, 646100, China; email: pujiangtao1972@sina.com",Article,Scopus
